mobile_language|english|français|polski|nederlands|deutsch|italiano|español|português
sounds volume|sounds level|volume des sons|głośność dźwięku|geluidsvolume|Lautstärke|suoni volume|volumen de sonidos|volume do som|Tounniveau
indicates|Indicating|Indiquant|Wskazujący|Vermeldt|angabe|Indicando|Indicando|Indicando|Uweisen
before scheduled|before scheduled time|d'avance sur le timing|wcześniej niż w harmonogramie|voorhang op timing|vor geplanter Uhrzeit|in anticipo sul timing|adelantado sobre la hora|antecipação sobre a hora|Vir der geplangter Zäit
credentials|credentials|accès|dostęp|toegang|Zugang|credenziali|accesi|credenciais|Umeldungsinformatiounen
login|Login|Login|Użytkownik|Login|Login|Login|Login|Início de sessão|Login
new login|New login|Nouvel accès|Nowy login|Nieuwe login|neuer Login|Nuovo accesso|Nuevo acceso|Novo acesso|Neie Login
pass|Password|Mot de passe|Hasło|Passwoord|Passwort|Password|Contraseña|Palavra-passe|Passwuert
view|View|Vue|Widok|Zicht|ansicht|Vista|Vista|Visto|Vue
ch l intro|your login must contain|votre login doit contenir|Twój login musi zawierać|uw login moet het volgende bevatten:|uw login finden Sie die folgenden Anweisungen:|il tuo login deve contenere|su inicio de sesión debe contener|seu login deve conter|Ären Login muss enthalen
ch p intro|your password must contain|votre mot de passe doit contenir|Twoje hasło musi zawierać|uw wachtwoord moet het volgende bevatten:|uw login finden Sie die folgenden Anweisungen:|la tua password deve contenere|su contraseña debe contener|sua senha deve conter|Äert Passwuert muss enthalen
ch smalls|at least two lowercase letters|au minimum deux lettres minuscules|co najmniej dwie małe litery|minimaal twee kleine letters|mindestens zwei Kleinbuchstaben|almeno due lettere minuscole|al menos dos letras minúsculas|pelo menos duas letras minúsculas|op d’mannst zwee kleng Buschtawe
ch uppers|at least two uppercase letters|au minimum deux lettres majuscules|co najmniej dwie wielkie litery|minimaal twee hoofdletters|mindestens zwei Großbuchstaben|almeno due lettere maiuscole|al menos dos letras mayúsculas|pelo menos duas letras maiúsculas|op d’mannst zwee grouss Buschtawe
ch figures|at least two figures (0 to 9)|au minimum deux chiffres (0 à 9)|co najmniej dwie cyfry (0 do 9)|minimaal twee cijfers (0 t/m 9)|mindestens zwei Ziffern (0 bis 9)|almeno due cifre (da 0 a 9)|al menos dos cifras (0 a 9)|pelo menos dois algarismos (0 a 9)|op d’mannst zwee Zifferen (0 bis 9)
ch p duplicate|your login and password must be different|votre mot de passe doit différer de votre login|Twój login i hasło muszą się różnić|uw login en wachtwoord moeten verschillend zijn|Ihr Login und Passwort müssen unterschiedlich sein|il tuo login e la tua password devono essere diversi|su nombre de usuario y contraseña deben ser diferentes|seu login e senha devem ser diferentes|Äre Login an Äert Passwuert mussen ënnerschiddlech sinn
ch specials|at least two special characters chosen from [] {} () ! / + - = € ? _ , . : ; @ $ % & * |au minimum deux caractères spéciaux choisis dans [] {} () ! / + - = € ? _ , . : ; @ $ % & * |co najmniej dwa znaki specjalne wybrane spośród [] {} () ! / + - = € ? _ , . : ; @ $ % & * |ten minste twee speciale tekens gekozen uit [] {} () ! / + - = € ? _ , . : ; @ $ % & * |mindestens zwei Sonderzeichen ausgewählt aus [] {} () ! / + - = € ? _ , . : ; @ $ % & * |almeno due caratteri speciali scelti tra [] {} () ! / + - = € ? _ , . : ; @ $ % & * |al menos dos caracteres especiales elegidos entre [] {} () ! / + - = € ? _ , . : ; @ $ % & * |pelo menos dois caracteres especiais escolhidos entre [] {} () ! / + - = € ? _ , . : ; @ $ % & * |op d’mannst zwee speziell Zeechen gewielt aus [] {} () ! / + - = € ? _ , . : ; @ $ % & * 
ch size|and must size between 9 and 32 characters|et doit mesurer entre 9 et 32 caractères|i musi mieć rozmiar od 9 do 32 znaków|en moet tussen 9 en 32 tekens groot zijn|und muss zwischen 9 und 32 Zeichen lang sein|e deve avere una dimensione compresa tra 9 e 32 caratteri|y debe tener un tamaño entre 9 y 32 caracteres|e deve ter entre 9 e 32 caracteres|a Gréisst muss tëscht 9 an 32 Zeechen sinn
ch l reserved|this login can not be used, it is reserved.|ce login ne peut pas être utilisé, il est réservé.|ten login nie może być używany, jest zastrzeżony.|deze login kan niet worden gebruikt, deze is gereserveerd.|Dieser Login kann nicht verwendet werden, er ist reserviert.|questo login non può essere utilizzato, è riservato.|Este inicio de sesión no se puede utilizar, está reservado.|este login não pode ser usado, ele está reservado.|dësen Login ka net benotzt ginn, hien ass reservéiert.
lock access|lock access|verrouiller l'accès|zablokować dostęp|toegang vergrendelen|Zugang sperren|bloccare l'accesso|bloquear el acceso|bloquear acesso|den Zougang spären
disable webpage|disable this webpage|désactiver cette page Web|wyłącz tę stronę internetową|schakel deze webpagina uit|diese Webseite deaktivieren|disabilitare questa pagina web|desactivar esta página web|desativar esta página da web|dës Websäit desaktivéieren
connect one user|log one more user in|connecter un utilisateur supplémentaire|zaloguj jeszcze jednego użytkownika|log nog een gebruiker in|einen weiteren Benutzer einloggen|collega un altro utente|iniciar sesión con un usuario más|conectar mais um usuário|e weideren Benotzer umellen
al-admin|administrator|administrateur|administrator|Beheerder|administrator|amministratore|administrador|administrador|Administrator
al-seller|representative|Délégué|Przedstawiciel|afgevaardigd|Vetreter|Rappresentante|Delegado|Delegado|Representant
al-manager|Manager|responsable|Kierownik|Verantwoordelijk|Manager|responsabile|responsable|responsável|Manager
al-supervisor|Supervisor|Superviseur|Nadzorca|Opzichter|Betreuer|Supervisore|Supervisor|Supervisor|Superviseur
al-operator|Operator|Opérateur|Operator|operator|anwender|Operatore|Operador|Operador|Bedreiwer
al-eresa|Web-page|Page Web|Strona internetowa|Web-pagina|Webseite|Pagina web|Página web|Página web|Websäit
al-synchro|Synchronization|Synchronisation|Synchronizacja|Synchronisatie|Synchronisation|Sincronizzazione|Sincronización|Sincronização|Synchronisatioun
brand|Brand|Marque|Marka|Merk|Marke|Marca|Marca|Marca|Mark
program name|Program name|application|Nazwa programu|Programmanaam|anwendung|applicazione|aplicación|aplicação|Programmnumm
contact person|Contact person|Personne de contact|Osoba kontaktowa|Contactpersoon|Kontaktperson|Persona di contattato|Persona de contacto|Pessoa de contacto|Kontaktpersoun
access allowance|access allowance|allocation d'accès|Zasiłek dostęp|Toegang uitkering|Zugangsberechtigung|assegnazione daccesso|asignación de acceso|Contribuição de acesso|Accès Erlaabnes
accesses|accesses|accès|Dostęp|Toegangen|Zugriffe|accesso|acceso|acesso|Zougäng
access keys|access keys|Clés d'accès|Klawisze dostępu|Toegangssleutels|Zugriffsschlüsse|Chiave d'accesso|Clave de acceso|Chave de acesso|Accès Schlësselen
accounts|accounts|Comptes|Rachunki|accounts|Konten|Conti|Cuentas|Contas|Konten
akeys count|Number of keys|Nombre de clés|Klawisze numeryczne|aantal sleutels|Schlüsselanzahl|Numero di chiavi|Número de claves|Número de chaves|Zuel vu Schlësselen
akey related|Key for this account|Clé pour ce compte|Kluczem do tego konta|Sleutel tot deze account|Schlüssel für dieses Konto|Chiave per questo conto|Clave para esta cuenta|Chave para esta conta|Schlëssel fir dëse Kont
account id|account id|Numéro de compte|Numer konta|account nummer|Kontonummer|Numero di conto|Número de cuenta|Número da conta|Kontonummer
synchro|Synchronization|Synchronisation|Synchronizacja|Synchronisatie|Synchronisation|Sincronizzazione|Sincronización|Sincronização|Synchronisatioun
correlators|Correlators|Correlators|correlators|Correlators|Korrelatoren|Correlatori|Correladores|Correlatos|Korrelatoren
initialization|Initialization|Initialisation|Inicjalizacji|Initialisatie|Initialisierung|Inizializzazione|Inicialización|Inicialização|Initialiséierung
updates|Updates|actualisation|aktualizacje|Updates|Updates|attualizzazione|actualización|atualização|Updates
backup|Backup|Sauvegarde|Backup|Backup|Backup|Backup|Backup|Backup|Backup
restore|restore|restauration|restore|restore|Wiederherstellen|Ripristinare|restablecer|restauração|Restauréieren
maintenance|Maintenance|Maintenance|Konserwacja|Onderhoud|Wartung|Mantenimento|Mantenimiento|Manutenção|Ënnerhalt
utilities|Utilities|Outils|Przybory|Gereedschap|Werkzeuge|attrezzature|Herramientas|Ferramentas|Utilitéiten
ack visitors|acknowledge visitors|Validation visiteurs|acknowledge visitors|Validatie bezoekers|Besucher bestätigen|Convalida visitatore|Validación visitante|Validação de visitantes|Visiteuren unerkennen
ack resa|acknowledge reservs|Validation RDVs|acknowledge reservs|Validatie reservaties|Termmine bestätigen|Convalida appuntamenti|Validación citas|Validação de compromissos|Reservatiounen unerkennen
permissions|Permissions|Permissions|Uprawnienia|Toestemmingen|Zulassungen|Permessi|Permisos|Permissões|Permissiounen
reg usage|regular usage|Utilisation régulière|regularne korzystanie z|regelmatig gebruik|regelmäßige Nutzung|Uso regolare|Uso regular|Uso regular|Regelméisseg Notzung
cr_resas|create reservations|créer des réservations|tworzenie rezerwacji|reserveringen maken|reservierungen erstellen|creare prenotazioni|crear reservas|criar reservas|Reservatioune erstellen
cr_tasks|create tasks|créer des tâches|tworzenie miejsc pracy|taken maken|aufgaben erstellen|creare attività|crear tareas|criar tarefas|Aufgaben erstellen
cr_notes|create notes|créer des notes|sporządzanie notatek|Notas maken|Notizen erstellen|creare note|crear notas|criar notas|Notizen erstellen
cr_chats|create chats|créer des chats|czaty zrobić|chats maken|Chats erstellen|creare chats|crear chats|criar chats|Chats erstellen
ac_disprefs|access to display details|accéder aux détails d'affichage|dostęp do wyświetlania szczegółów|toegang naar display voorkeuren|Zugriff auf display Details anzeigen|accede ai dettagli di visualizzazione|accede a los detalles de la pantalla|acesso para exibir detalhes|Zougang zu Afficherdetailer
ac_stats|see statistics|voir les statistiques|dostęp do statystyk|toegang naar statistieken|Statistiken ansehen|consultare le statistiche|ver las estadísticas|ver as estatísticas|Statistike kucken
ac_visis|see visitors register|voir le registre visitors|dostęp do rejestru visitors|toegang naar visitors register|visitors Verzeichnis ansehen|consultare il registro visitors|ver el registro de visitors|ver o registo visitors|Visiteurregister kucken
ac_archv|access to notes and tasks|accéder aux notes et tâches|uzyskuje dostęp do notatek i zadań|toegang tot notities en taken|Zugriff auf Notizen und Aufgaben|accede a note e attività|accede a notas y tareas|acessa notas e tarefas|Zougang zu Notizen an Aufgaben
ac_sfind|access to search and find|accéder à filtrer et trouver|dostęp do filtrowania i znajdowania|toegang tot filteren en zoeken|Zugang zum Filtern und Finden|accedere al filtro e trovare|acceso para filtrar y encontrar|acesso para filtrar e encontrar|Zougang fir ze sichen an ze fannen
ac_setup|access setup & preferences|accéder aux réglages & préférences|dostęp do ustawień i preferencji|toegang naar setup & voorkeuren|Zugriff auf Einstellungen und Präferenzen|accede alle configurazioni e preferenze|accede a las configuraciones y preferencias|acede às configurações e preferências|Zougang zu Astellungen a Preferenzen
ch_hourly|change hourlies|changer l'horaire|dostosować harmonogram|uurrooster aanpassen|Zeitplan anpassen|cambiare l'orario|cambiar el horario|alterar o horário|Stonnendéngscht änneren
ch_calendar|change calendar|changer le calendrier|dostosowywanie kalendarza|kalender aanpassen|Kalender anpassen|cambiare il calendario|cambiar el calendario|alterar o calendário|Kalenner änneren
op_resas|open reservations|ouvrir des réservations|otwarte rezerwacje|reserveringen open doen|offene reservierungen|prenotazioni aperte|reservas abiertas|reservas abertas|Reservatioune opmaachen
setup|Setup & preferences|Réglage & préférences|Ustawienia i preferencje|Setup & voorkeuren|Einstellungen und Präferenzen|Configurazione & preferenze|Configuración y preferencias|Configuração e Preferências|Setup & Preferenzen
cr_bcals|create main resources|créer des resources principales|stworzyć podstawowe zasoby|basis middelen creëren|Hauptressourcen erstellen|creare risorse principali|crear recursos principales|criar recursos principais|Haaptressourcen erstellen
cr_ucals|create mandatory resources|créer des resources obligatoires|tworzenia obowiązkowych zasobów|verplichte middelen creëren|Pflichtressourcen erstellen|creare risorse obbligatorie|crear recursos obligatorios|criar recursos obrigatórios|Obligatoresch Ressourcen erstellen
cr_fcals|create faculative resources|créer des resources facultatives|stworzyć faculative zasoby|facultative middelen creëren|Optionale ressourcen erstellen|creare risorse facoltative|crear recursos facultativos|criar recursos opcionais|Fakultativ Ressourcen erstellen
cr_logins|create logins|créer des accès|tworzenie loginów|logins creëren|Nutzerkonten erstellen|creare accessi|crear accesos|criar acesso|Logins erstellen
ch_logins|change logins|changer des accès|zmiany loginów|logins aanpassen|Nutzerkonten anpassen|modificare accessi|modificar accesos|alterar acesso|Logins änneren
cr_comm|create communication templates|créer des communications pré-formatées|tworzyć komunikację|communicatie patronen creëren|Kommunikationsvorlagen erstellen|creare comunicazioni predefinite|crear comunicaciones predefinidas|criar comunicações pré-formatadas|Kommunikatiounsvirlagen erstellen
cr_ccss|create custom colors & status|créer statuts et couleurs|tworzyć własne kolory|kleuren en status maken|Benutzerdefinierte Farben & Status erstellen|creare statuti e colori|crear estados y colores|criar estados e cores|Personaliséiert Faarwen a Status erstellen
cr_wrkc|create performances|créer des prestations|producent wydajność|prestaties maken|Leistungen erstellen|creare prestazioni|crear reservas|criar prestações|Leeschtunge erstellen
ch_comm|change communication templates|changer la communication pré-formatée|dopasowywanie wzorców komunikacji|communicatie patronen aanpassen|Kommunikationsvorlagen anpassen|modificare la comunicazione predefinita|modificar la comunicación predefinida|alterar a comunicação pré-formatada|Kommunikatiounsvirlagen änneren
ch_wrkc|change performances|changer les prestations|dostosuj wydajność|prestaties aanpassen|Leistungen anpassen|modificare le prestazioni|modificar los servicios|alterar as prestações|Leeschtunge änneren
ch_ccss|change custom colors & status|changer les statuts et couleurs|wyregulować kolor i stan|kleuren en status aanpassen|Farben & Status anpassen|modificare gli statuti e colori|modificar los estados y colores|alterar os estatutos e as cores|Personaliséiert Faarwen a Status änneren
timeboxing|Time boxing|Bloc horaire|Time boxing|Time boxing|Zeitblöcke|Blocco orario|Bloqueo horario|Bloco horário|Zäit Boxen
workcode|performance|prestation|świadczenie|prestatie|leistung|prestazione|servicio|prestação|Leeschtung
euros|€|€|€|€|€|€|€|€|€
code|Code|Code|Kod|Code|Code|Codice|Código|Código|Code
price|Price €|Prix €|Cena €|Prijs €|Preis €|Prezzo €|Precio €|Preço €|Präis €
performance|performance|prestation|świadczenie|prestatie|leistung|prestazione|servicio|prestação|Leeschtung
performances|performances|prestations|świadczenia|prestaties|leistungen|prestazioni|servicios|prestações|Leeschtungen
e-reservable|e-reservable|e-reservable|e-reservable|e-reservable|e-reservierbar|e-Prenotabile|e-reservable|e-reserva|e-Reservéierbar
new workcode|New performance|Nouvelle prestation|Nowa wydajność|Nieuwe prestatie|Neue Leistung|Nuova prestazione|Nuevo servicio|Nova prestação|Nei Leeschtung
e-reservables|online reservables|réservables en ligne|można zarezerwować online|online te boeken|online buchbar|prenotabile online|reservable en línea|reservável on-line|Online Reservéierbar
other performances|other performances|autres prestations|świadczenia|andere diensten|Sonstige Dienstleistungen|altri servizi|otros servicios|outros serviços|Aner Leeschtungen
blueprint wk tags|in appointments where this performance is applied, the tags selected here will be automatically activated.|dans les rendez-vous où cette prestation est appliquée, les tags sélectionnés ici seront automatiquement activés.|w przypadku spotkań, w których stosowana jest ta usługa, wybrane tutaj tagi zostaną automatycznie aktywowane.|bij afspraken waarbij deze prestatie wordt toegepast, worden de hier geselecteerde tags automatisch geactiveerd.|Bei Terminen, bei denen dieser Dienst angewendet wird, werden die hier ausgewählten Tags automatisch aktiviert.|negli appuntamenti in cui è applicato questo servizio i tag qui selezionati verranno automaticamente attivati.|en las citas donde se aplica este servicio, las etiquetas aquí seleccionadas se activarán automáticamente.|nos agendamentos onde este serviço for aplicado, as tags aqui selecionadas serão ativadas automaticamente.|Bei Rendez-vous, wou dës Leeschtung applizéiert gëtt, ginn d'hei ausgewielte Tags automatesch aktivéiert.
blueprint wk ccss|choice(s) made here will be reproduced in appointments where this performance is applied.|le(s) choix indiqués ici seront reproduit(s) dans le rendez-vous où cette prestation est appliquée.|wskazane tutaj wybory zostaną odtworzone podczas spotkania, podczas którego będzie stosowana ta usługa.|de hier aangegeven keuze(s) wordt(en) weergegeven in de afspraak waarbij deze prestatie wordt toegepast.|Die hier angegebene(n) Auswahl(en) wird(n) bei dem Termin, bei dem dieser Service in Anspruch genommen wird, reproduziert.|le scelte qui indicate verranno riprodotte nell'appuntamento in cui viene applicato questo servizio.|la(s) elección(es) aquí indicada(s) se reproducirán en la cita donde se aplique este servicio.|a(s) escolha(s) aqui indicada(s) serão reproduzidas no agendamento onde este serviço for aplicado.|D'Wiel(en), déi hei gemaach gëtt, gëtt bei Rendez-vous reproduzéiert, wou dës Leeschtung applizéiert gëtt.
no guideline|None|aucune|Brak|Geen|Keine|Nessuna|Ninguna|Nenhuma|Keng
guidelines|Guidelines|Directives|Wytyczne|Richtlijnen|Richtlinie|Direttive|Directivas|Diretivas|Direktiven
directions|Directions|Itinéraire|Kierunki|Richtingen|anweisungen|Itinerario|Itinerario|Itinerário|Uweisungen
new guidelines|New guidelines|Nouvelles directives|Nowe wytyczne|Nieuwe richtlijnen|Neue Richtlinien|Nuove direttive|Nuevas directivas|Novas diretivas|Nei Direktiven
gdl requests|requests|Demandes|Wnioski|Verzoeken|anfragen|Richiesta|Pedidos|Pedidos|Ufroën
gdl never|Don't|Jamais|Nie rób|Niet doen|Nie|Mai|Nunca|Nunca|Niemols
gdl tips|Tips & tricks|Conseils|Rada|Tipps & tricks|Tips & Tricks|Consigli|Consejos|Conselhos|Tippen & Tricks
gdlns 4 new visitors|Guidelines when new visitor|Directives en cas de nouveau visiteur|Wytyczne, gdy nowy użytkownik|Richtlijnen indien nieuwe bezoeker|anweisungen bei neuen Besuchern|Direttive in caso di nuovo visitatore|Directivas en caso de nuevo visitante|Diretivas no caso de novo visitante|Direktiven fir nei Visiteuren
gdlns 4 appointment|Guidelines when appointing|Directives pour la prise de RDV|Wytyczne do umawiania spotkań|Richtlijnen voor het maken van afspraken|anweisungen für die Terminaufnahme|Direttive per prendere un appuntamento|Directivas para tomar una cita|Diretivas para marcar consulta|Direktiven fir Rendez-vous opzemaachen
gdlns 4 requests|Guidelines for requests|Directives pour les demandes spéciales|Wytyczne do prośby|Richtlijnen voor speciale verzoeken|anweisungen für neue Anfragen|Direttive per le richieste speciali|Directivas para pedidos especiales|Diretivas para pedidos especiais|Direktiven fir speziell Ufroen
gdlns 4 dont|Never do or say|Ne jamais faire ou dire|Nigdy nie powiedzieć lub zrobić|Nooit zeggen of doen|Niemals tun oder sagen|Non dire o fare mai|Nunca decir o hacer|Nunca fazer ou dizer|Niemols maachen oder soen
gdlns 4 tips|Tips and tricks|autres conseils|Inne wskazówki|andere tips & tricks|andere Tipps & Tricks|altri consigli|Otros consejos|Outras recomendações|Aner Tipps & Tricks
substitution placeholders|substitution placeholders|balises de substitution|znaczniki zastępcze|vervangingslabels|Ersatz-Tags|tag di sostituzione|etiquetas de sustitución|etiquetas de substituição|Substitutiounstags
{tmp_confirm}|Confirmation|Confirmation|Potwierdzenie|Bevestiging|Bestätigung|Conferma|Confirmación|Confirmação|Confirmatioun
{tmp_eve}|Eve reminder|Rappel la veille|Przypomnienie dzień przed wizytą|Vooravond|am abend vorher|Promemoria il giorno prima|recordatorio el día antes|Lembrete no dia anterior|Erënnerung de Virdag
{tmp_oneweek}|One week before|Rappel en7|Przypomnienie dzień przed wizytą|Een week tevoren|Eine Woche vorher|Promemoria una settimana prima|recordatorio una semana antes|Lembrete em7|Erënnerung eng Woch virdrun
{business}|account name|Nom du compte|Nazwa konta|accountnaam|Kontoname|Nome del conto|Nombre de la cuenta|Nome da conta|Kontonumm
{time}|Time|Heure|Godzina|Uur|Uhrzeit|Ora|Hora|Hora|Zäit
{date}|Date|Date|Data|Datum|Datum|Data|Fecha|Data|Datum
{day}|Weekday|Jour|Dzień|Weekdag|Wochentag|Giorno|Día|Dia|Wochendag
{dear}|Dear|Chèr(e)||Beste|Liebe(r)|Caro/a|Estimado/a|Caro/a|Léif
{gender}|Title|Civ.|Godność|Gesl.|anrede|Titolo|Título|Forma de tratamento|Titelen
{fname}|First name|Prénom|Imię|Voornaam|Vorname|Nome|Nombre|Nome|Virnumm
{lname}|Last name|Nom|Nazwisko|Naam|Nachname|Cognome|apellido|apelido|Familljennumm
{info}|Info note|Information|Informacje|Informatie|Information|Informazione|Información|Informação|Informatioun
{resa_note}|Note|Note|Notatka|Notitie|Notiz|Nota|Nota|Nota|Notiz
{perf_note}|Performance note|Note prestation|Uwaga świadczenie|Nota prestatie|Notiz Leistung|Nota prestazione|Nota servicio|Nota prestação|Leeschtungsnotiz
{company}|Company|Entreprise|Firma|Firma|Firma|azienda|Empresa|Empresa|Entreprise
{mobile}|Mobile number|portable|Komórkowy|GSM|Mobilnummer|Cellulare|Móvil|Telemóvel|Handysnummer
{regist}|Registration|Matricule|Znaczek|Register|Registrieren|Matricola|Matrícula|Matrícula|Umeldung
{address}|address|adresse|adres|adres|adresse|Indirizzo|Dirección|Morada|Adress
{email}|e-mail|e-mail|e-mail|e-mail|e-mail|e-mail|e-mail|e-mail|E-Mail
{perf}|performance|prestation|świadczenie|prestatie|leistung|prestazione|servicio|prestação|Leeschtung
{bcode}|booking code|code de réservation|kod rezerwacji|boekingscode|Buchungscode|codice di prenotazione|código de reserva|código de reserva|Buchungscode
{epay_iban}|Beneficiary IBAN|IBAN bénéficiaire|beneficjenta IBAN|Begunstigden IBAN|Empfängerkonto IBAN|beneficiario IBAN|beneficiario IBAN|beneficiário IBAN|IBAN vum Beneficiaire
{epay_beneficiary}|Beneficiary name|Nom bénéficiaire|Nazwa odbiorcy|Naam begunstigde|Name des Begünstigten|Nome del beneficiario|Nombre del Beneficiario|Nome do beneficiário|Numm vum Beneficiaire
{epay_billtotal}|total to charge|total à perçevoir|łączna należność|totaal te berekenen|insgesamt zu sammeln|totale credito|cuentas por cobrar totales|total a receber|Total ze verrechnen
{epay_paid}|already paid|déjà payé|już zapłacone|al betaald|bereits bezahlt|già pagato|ya pagado|já pago|Schonn bezuelt
{epay_remains}|balance|reste à payer|pozostało do zapłaty|nog te betalen|Noch zu zahlen|saldo da pagare|saldo por pagar|saldo por pagar|Saldo
{epay_SEPA_qr}|SEPA QR-code|QR-code SEPA|kod QR SEPA|SEPA QR-code|SEPA-QR-Code|codice QR SEPA|código QR SEPA|código QR SEPA|SEPA QR-Code
{att_bcal}
{att_ucal}
{att_fcal}
{participants}|participants|participants|uczestnicy|deelnemers|teilnehmer|partecipanti|participantes|participantes|Participanten
tmp_confirm|{dear} {gender} {lname}, {business} confirms your new appointment on {day} {date} at {time}. Looking forward to welcome you, regards.|{dear} {gender} {lname}, {business} est heureux de vous confirmer votre RDV du {day} {date} à {time}. A bientôt!|Wiadomosc od {business}: Potwierdzamy wizyte. Data: {day} {date} o {time}. Do zobaczenia!|{dear} {gender} {lname}, {business} bevestigt u nieuwe afspraak op {day} {date} om {time}. Tot binnenkort, groeten.|{dear} {gender} {lname}, {business} freut sich auf Ihren Besuch am {day} {date} um {time}. Bis bald!.|{dear} {gender} {lname}, {business} è lieto di confermarLe il Suo appuntamento il {day} {date} alle {time}. A presto!|{dear} {gender} {lname}, {business} está feliz de confirmarLe su cita el {day} {date} a las {time}. Hasta pronto!|{dear} {gender} {lname}, {business} tem o prazer de conformar o seu encontro em {day} {date} às {time}. Até breve!|{dear} {gender} {lname}, {business} confirméiert Äre Rendez-vous um {day} {date} um {time}. Mir freeën eis op Äre Besuch, mat beschte Gréiss.
tmp_eve|{dear} {gender} {lname}, this msg is to remind your appointment tomorrow {day} {date} at {time}. Regards, {business}|{dear} {gender} {lname}, ce msg pour vous rappeler votre RDV de demain {day} {date} à {time}. Cordialement, {business}|Wiadomosc od {business}: Przypominamy o wizycie. Data: {day} {date} o {time}. Do zobaczenia!|{dear} {gender} {lname}, deze boodschap als herinnering van onze afspraak morgen {day} {date} om {time}. Groeten, {business}|{dear} {gender} {lname}, hiermit möchten wir Sie an Ihren Termin am {day} {date} um {time} erinnern. Beste Grüße, {business}|{dear} {gender} {lname}, questo msg è per ricordarLe il Suo appuntamento di domani {day} {date} alle {time}. Cordiali saluti, {business}|{dear} {gender} {lname}, este mensaje es para recordarle su cita de mañana {day} {date} a las {time}. Saludos cordiales, {business}|{dear} {gender} {lname}, esta mensagem tem o objetivo de lembrá-lo/a do seu encontro de amanhã {day} {date} às {time}. Cordialmente, {business}|{dear} {gender} {lname}, dëst ass eng Erënnerung un Äre Rendez-vous muer {day} {date} um {time}. Mat beschte Gréiss, {business}
tmp_oneweek|{gender} {lname}, you have an appointment on {day} {date} at {time}. Would you be unavailable, please send back a sms. Regards, {business}|{gender} {lname}, vous avez RDV le {day} {date} à {time}. En cas d'indisponibilité, répondez à ce sms. Cordialement, {business}|Wiadomosc od {business}: Przypominamy o wizycie. Data: {day} {date} o {time}. Odpowiedz na ta wiadomosc w razie zmiany planów.|{gender} {lname}, we hebben op {day} {date} om {time} afgesproken. Een onbeschikbaarheid?, stuur dan een sms terug. Groeten, {business}|{gender} {lname}, Sie haben am {day} {date} um {time} einen Termin. Bitte auf diese SMS antworten, falls Sie ihn nicht wahrnehmen können. MfG, {business}|{gender} {lname}, ha un appuntamento il {day} {date} alle {time}. In caso di non disponibilità, risponda a questo sms. Cordiali saluti, {business}|{gender} {lname}, tiene una cita el {day} {date} a las {time}. En caso de indisponibilidad, responda a este sms. Saludos cordiales, {business}|{gender} {lname}, você tem um encontro marcado a {day} {date} às {time}. Caso não se encontre disponível, responda a este SMS. Cordialmente, {business}|{gender} {lname}, Dir hutt e Rendez-vous den {day} {date} um {time}. Wann Dir net kënnt, äntwert w.e.g. op dës SMS. Mat beschte Gréiss, {business}
export iArray|Export this table|Exporter cette table|Należy wyeksportować tabelę|Exporteer deze tabel|Diese Tabelle exportieren|Esportare questa tabella|Exportar este tablero|Exportar este quadro|Dës Tabell exportéieren
actions-id|login|login|login|login|login|login|login|Início de sessão|Login
actions-resaNew|New|Nouveaux|Nowy|Nieuwe|Neu|Nuovi|Nuevos|Novos|Nei
actions-resaEdit|Edited|Modifiés|Zmiana|Veranderd|Geändert|Modificati|Modificados|Modificados|Geännert
actions-resaDel|Deleted|Supprimés|Od|Verwijderd|Gelöscht|Soppressi|Borrados|apagados|Geläscht
actions-appNew|New|Nouveaux|Nowy|Nieuwe|Neu|Nuovi|Nuevos|Novos|Nei
actions-appEdit|Edited|Modifiés|Zmiana|Veranderd|Geändert|Modificati|Modificados|Modificados|Geännert
actions-appDel|Deleted|Supprimés|Od|Verwijderd|Gelöscht|Soppressi|Borrados|apagados|Geläscht
actions-noteNew|New|Nouveaux|Nowy|Nieuwe|Neu|Nuovi|Nuevos|Novos|Nei
actions-noteEdit|Edited|Modifiés|Zmiana|Veranderd|Geändert|Modificati|Modificados|Modificados|Geännert
actions-noteDel|Deleted|Supprimés|Od|Verwijderd|Gelöscht|Soppressi|Borrados|apagados|Geläscht
actions-taskNew|New|Nouveaux|Nowy|Nieuwe|Neu|Nuovi|Nuevos|Novos|Nei
actions-taskEdit|Edited|Modifiés|Zmiana|Veranderd|Geändert|Modificati|Modificados|Modificados|Geännert
actions-taskDel|Deleted|Supprimés|Od|Verwijderd|Gelöscht|Soppressi|Borrados|apagados|Geläscht
actions-taskAssigned|assigned|assignées|Przydzielony|Toegewezen|Zugewiesen|attribuite|asignadas|atribuídos|Zougewisen
actions-taskAchieved|achieved|accomplies|Osiągnięty|afgewerkt|ausgeführt|Concluse|Concluidas|Concluídos|Ofgeschloss
actions-visiNew|New|Nouveaux|Nowy|Nieuwe|Neu|Nuovi|Nuevos|Novos|Nei
actions-visiEdit|Edited|Modifiés|Zmiana|Veranderd|Geändert|Modificati|Modificados|Modificados|Geännert
actions-visiMerge|Deleted|Supprimés|Od|Verwijderd|Gelöscht|Soppressi|Borrados|apagados|Geläscht
actuals-resourceId|agenda|agenda|agenda|agenda|Kalender|agenda|Calendario|Calendário|Agenda
actuals-offdayCount|Off days|Congés|Dni wolne|Congés|freie Tage|Ferie|Vacaciones|Férias|Fräideeg
